audio_device_selected,['default']
ptb_devices
"0.0:HD-Audio Generic: ALC1220 Analog (hw:1,0):ALSA:out6.0"
"1.0:HD-Audio Generic: ALC1220 Digital (hw:1,1):ALSA:out2.0"
"2.0:HD-Audio Generic: ALC1220 Alt Analog (hw:1,2):ALSA:out0.0"

timestamp,latency_ms
2026-02-06T11:20:00.718434,12.516
2026-02-06T11:20:01.741463,12.033
2026-02-06T11:20:02.765847,12.704
2026-02-06T11:20:03.790974,14.400
2026-02-06T11:20:04.813945,11.488
2026-02-06T11:20:05.838122,14.603
2026-02-06T11:20:06.861245,11.824
2026-02-06T11:20:07.887359,14.432
2026-02-06T11:20:08.908467,11.985
2026-02-06T11:20:09.932640,12.653
2026-02-06T11:20:10.957719,14.285
2026-02-06T11:20:11.983970,14.416
2026-02-06T11:20:13.006955,11.451
2026-02-06T11:20:14.033305,14.095
2026-02-06T11:20:15.057227,12.234
2026-02-06T11:20:16.081488,12.790
2026-02-06T11:20:17.106598,14.307
2026-02-06T11:20:18.132713,14.516
2026-02-06T11:20:19.158953,14.625
2026-02-06T11:20:20.181939,11.720
2026-02-06T11:20:21.211078,17.364
2026-02-06T11:20:22.234212,14.564
2026-02-06T11:20:23.260487,14.654
2026-02-06T11:20:24.283438,11.705
2026-02-06T11:20:25.306704,11.359
2026-02-06T11:20:26.325844,12.136
2026-02-06T11:20:27.353899,16.710
2026-02-06T11:20:28.377954,12.161
2026-02-06T11:20:29.407276,17.870
2026-02-06T11:20:30.434385,13.906
2026-02-06T11:20:31.455549,14.184
2026-02-06T11:20:32.481631,14.146
2026-02-06T11:20:33.507704,14.239
2026-02-06T11:20:34.531952,14.932
2026-02-06T11:20:35.554864,12.010
2026-02-06T11:20:36.579115,12.666
2026-02-06T11:20:37.604274,14.266
2026-02-06T11:20:38.627379,11.356
2026-02-06T11:20:39.646481,12.131
2026-02-06T11:20:40.672632,14.756
2026-02-06T11:20:41.698617,14.823
2026-02-06T11:20:42.721727,11.897
2026-02-06T11:20:43.746020,12.524
2026-02-06T11:20:44.768026,11.155
2026-02-06T11:20:45.794169,13.801
2026-02-06T11:20:46.818408,14.454
2026-02-06T11:20:47.842472,12.550
2026-02-06T11:20:48.865666,12.173
2026-02-06T11:20:49.891710,14.785
2026-02-06T11:20:50.914949,11.814
MEAN,13.403
